Assembly	[C]omplete BUSCOs	Complete and [S]ingle-copy BUSCOs	Complete and [D]uplicated BUSCOs	[F]ragmented BUSCOs	[M]issing BUSCOs	Name
GCA_001005505.1	1462	1457	5	14	230	Brettanomyces anomalus YV396
GCA_001006245.1	1629	1548	81	4	73	Saccharomyces cerevisiae 4124-S60
GCA_001029055.1	1436	1429	7	35	235	Torulaspora delbrueckii NRRL Y-50541
GCA_001029075.1	1603	1526	77	10	93	Saccharomyces cerevisiae NCIM3186
GCA_001029995.1	1591	1517	74	9	106	Saccharomyces cerevisiae GSY2239
GCA_001039675.1	1573	1534	39	11	122	Nakaseomyces delphensis CBS 2170 CBS 2170
GCA_001046915.1	1590	1549	41	6	110	[Candida] nivariensis CBS 9983 CBS 9983
GCA_001046935.1	1499	1480	19	13	194	[Candida] castellii CBS 4332 CBS 4332
GCA_001046975.1	1553	1518	35	6	147	Nakaseomyces bacillisporus CBS 7720 CBS 7720
GCA_001051215.1	1628	1545	83	5	73	Saccharomyces cerevisiae ySR127
GCA_001077315.1	1588	1545	43	8	110	[Candida] bracarensis CBS 10154 CBS 10154
GCA_001078085.1	1609	1534	75	13	84	Saccharomyces cerevisiae ISO12
GCA_001078105.1	1632	1553	79	3	71	Saccharomyces cerevisiae Ethanol Red
GCA_001189475.1	1593	1592	1	8	105	[Candida] auris 6684
GCA_001245095.1	1609	1602	7	8	89	Cyberlindnera jadinii CBS1600
GCA_001282415.1	1608	1548	60	7	91	Saccharomyces cerevisiae NRRL Y-12632 NRRL Y-12632
GCA_001298375.2	1623	1525	98	4	79	Saccharomyces sp. 'boulardii' biocodex
GCA_001298625.1	1626	1543	83	5	75	Saccharomyces eubayanus FM1318
GCA_001305865.1	1627	1534	93	5	74	Saccharomyces cerevisiae W303 W303
GCA_001307795.1	1581	1575	6	7	118	Yarrowia lipolytica W29
GCA_001413975.1	1620	1521	99	9	77	Saccharomyces sp. 'boulardii' unique28
GCA_001417835.1	1616	1614	2	9	81	Kluyveromyces marxianus NBRC 1777
GCA_001417885.1	1616	1614	2	8	82	Kluyveromyces marxianus DMKU3-1042 DMKU3-1042
GCA_001442605.1	1567	1564	3	9	130	[Candida] boidinii GF002
GCA_001442715.1	1331	1298	33	6	369	Candida sojae GF41
GCA_001447935.2	1653	1648	5	7	46	Debaryomyces fabryi CBS 789
GCA_001466335.1	1567	1535	32	8	131	Kluyveromyces marxianus IIPE453
GCA_001466525.1	1603	1517	86	4	99	[Candida] glabrata
GCA_001466535.1	1599	1513	86	6	101	[Candida] glabrata
GCA_001466565.1	1589	1445	144	4	113	[Candida] glabrata
GCA_001466575.1	1597	1502	95	7	102	[Candida] glabrata
GCA_001466635.1	1599	1277	322	5	102	[Candida] glabrata
GCA_001466685.1	1596	1484	112	7	103	[Candida] glabrata
GCA_001483335.1	1632	207	1425	6	68	Saccharomyces pastorianus Hybrid yeast 1
GCA_001483345.1	1633	269	1364	4	69	Saccharomyces pastorianus Hybrid yeast 7
GCA_001515405.2	1628	1545	83	4	74	Saccharomyces eubayanus CBS12357
GCA_001515425.2	1612	841	771	18	76	Saccharomyces pastorianus CBS 1503 CBS1503
GCA_001515445.2	1629	600	1029	5	72	Saccharomyces pastorianus CBS 1513 CBS1513
GCA_001515465.2	1628	1194	434	4	74	Saccharomyces pastorianus CBS1538
GCA_001515485.2	1631	235	1396	9	66	Saccharomyces pastorianus Weihenstephan 34/70 Weihenstephan 34/70
GCA_001545905.1	1630	1541	89	5	71	Saccharomyces sp. 'boulardii' kirkman
GCA_001545975.1	1628	1547	81	6	72	Saccharomyces sp. 'boulardii' Unisankyo
GCA_001578265.1	1601	1542	59	16	89	Saccharomyces cerevisiae 74-D694
GCA_001578275.1	1543	1474	69	24	139	Saccharomyces cerevisiae 15V-P4
GCA_001578285.1	1588	1509	79	7	111	Saccharomyces cerevisiae 1B-D1606
GCA_001578295.1	1557	1485	72	18	131	Saccharomyces cerevisiae 25-25-2V-P3982
GCA_001578385.1	951	906	45	188	567	Saccharomyces cerevisiae 6P-33G-D373
GCA_001584535.1	1584	1510	74	11	111	Saccharomyces cerevisiae MT1
GCA_001592655.1	1620	1528	92	6	80	Saccharomyces cerevisiae BSPX042
GCA_001599075.1	1567	1560	7	9	130	Ambrosiozyma kashinagicola JCM 15019
GCA_001599095.1	1632	1630	2	4	70	Hyphopichia homilentoma JCM 1507
GCA_001599115.1	1318	1314	4	22	366	[Candida] sorboxylosa JCM 1536
GCA_001599135.1	1612	1611	1	2	92	[Candida] intermedia JCM 1607
GCA_001599155.1	1604	1602	2	4	98	Wickerhamia fluorescens JCM 1821
GCA_001599195.1	1639	1634	5	7	60	Cyberlindnera fabianii JCM 3601
GCA_001599215.1	1514	1501	13	10	182	Saccharomycopsis malanga JCM 7620
GCA_001599235.1	1619	1617	2	9	78	Meyerozyma carpophila JCM 9396
GCA_001599255.1	1550	1546	4	5	151	[Candida] succiphila JCM 9445
GCA_001599275.1	1223	1222	1	46	437	Wickerhamiella domercqiae JCM 9478
GCA_001599295.1	1513	1491	22	14	179	Sporopachydermia quercuum JCM 9486
GCA_001599315.1	1192	1190	2	35	479	Starmerella bombicola JCM 9596
GCA_001599335.1	1569	1565	4	11	126	[Candida] boidinii JCM 9604
GCA_001599355.1	1542	1540	2	14	150	Nakazawaea peltata JCM 9829
GCA_001599395.1	1641	1637	4	3	62	Scheffersomyces lignosus JCM 9837
GCA_001599895.1	1616	1616	0	6	84	Priceomyces haplophilus JCM 1635
GCA_001599995.1	1554	1535	19	5	147	Ambrosiozyma monospora JCM 7599
GCA_001600075.1	1582	1575	7	3	121	Yarrowia deformans JCM 1694
GCA_001600195.1	1589	1582	7	8	109	Yarrowia keelungensis JCM 14894
GCA_001600375.1	1267	1261	6	26	413	Wickerhamiella versatilis JCM 5958
GCA_001600515.1	1581	1573	8	8	117	Yarrowia sp. JCM 30694 JCM 30694
GCA_001600535.1	1576	1568	8	7	123	Yarrowia sp. JCM 30696 JCM 30696
GCA_001600675.1	1635	1634	1	2	69	Millerozyma acaciae JCM 10732
GCA_001600695.1	1395	1352	43	10	301	Ascoidea asiatica JCM 7603
GCA_001600755.1	1603	1591	12	4	99	Ogataea methanolica JCM 10240
GCA_001600815.1	1547	1399	148	12	147	Alloascoidea hylecoeti JCM 7604
GCA_001602355.1	1588	1581	7	9	109	Yarrowia sp. JCM 30695 JCM 30695
GCA_001611835.1	1578	1445	133	31	97	Saccharomyces cerevisiae Lalvin L2056 Lalvin L2056
GCA_001625055.1	1628	1548	80	6	72	Saccharomyces sp. 'boulardii' ATCC MYA-797
GCA_001634645.1	1625	1540	85	6	75	Saccharomyces cerevisiae GLBRCY22-3
GCA_001640025.2	1600	1595	5	11	95	Sugiyamaella lignohabitans CBS 10342
GCA_001640265.1	1636	220	1416	5	65	Saccharomyces pastorianus 79
GCA_001649435.1	1307	257	1050	78	321	[Candida] ethanolica M2 M2
GCA_001655755.1	1582	1567	15	19	105	Spathaspora hagerdaliae UFMG-CM-Y303
GCA_001655765.1	1478	1460	18	68	160	Spathaspora gorwiae UFMG-CM-Y312
GCA_001657455.1	1602	1598	4	8	96	Spathaspora girioi UFMG-CM-Y302
GCA_001659765.1	1576	1573	3	9	121	Wickerhamiella versatilis t-1
GCA_001660455.1	1613	1586	27	6	87	Kluyveromyces marxianus
GCA_001661235.1	1474	1472	2	15	217	Pichia membranifaciens NRRL Y-2026 NRRL Y-2026
GCA_001661245.1	1608	1594	14	9	89	Pachysolen tannophilus NRRL Y-2460 NRRL Y-2460
GCA_001661255.1	1628	1622	6	6	72	Wickerhamomyces anomalus NRRL Y-366-8 NRRL Y-366-8
GCA_001661315.1	1604	1534	70	8	94	Nadsonia fulvescens var. elongata DSM 6958 DSM 6958
GCA_001661325.1	1144	1137	7	95	467	Lipomyces starkeyi NRRL Y-11557 NRRL Y-11557
GCA_001661335.1	1618	1613	5	8	80	Babjeviella inositovora NRRL Y-12698 NRRL Y-12698
GCA_001661345.1	1488	1463	25	12	206	Ascoidea rubescens DSM 1968 DSM 1968
GCA_001661395.1	1644	1640	4	4	58	Hyphopichia burtonii NRRL Y-1933 NRRL Y-1933
GCA_001661405.1	1628	1606	22	5	73	Cyberlindnera jadinii NRRL Y-1542 NRRL Y-1542
GCA_001661415.1	1650	1647	3	6	50	Suhomyces tanzawaensis NRRL Y-17324 NRRL Y-17324
GCA_001661425.1	1589	1584	5	4	113	[Candida] arabinofermentans NRRL YB-2248 NRRL YB-2248
GCA_001661475.1	1443	1443	0	18	245	Tortispora caseinolytica NRRL Y-17796 NRRL Y-17796
GCA_001664025.1	937	926	11	62	707	Hanseniaspora valbyensis NRRL Y-1626 NRRL Y-1626
GCA_001664035.1	1568	1564	4	13	125	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993 NRRL YB-4993
GCA_001664045.1	1567	1564	3	5	134	Ogataea polymorpha NCYC 495 leu1.1
GCA_001669875.1	1628	1546	82	5	73	Saccharomyces cerevisiae HPRMAwf_D10
GCA_001669905.1	1627	1545	82	5	74	Saccharomyces cerevisiae T.52_3C
GCA_001669935.1	1623	1541	82	7	76	Saccharomyces cerevisiae T.52_3A
GCA_001669965.1	1628	1546	82	4	74	Saccharomyces cerevisiae T.52_2H
GCA_001669995.1	1631	1549	82	3	72	Saccharomyces cerevisiae Sol7-2
GCA_001670025.1	1627	1546	81	5	74	Saccharomyces cerevisiae HB_C_TUKITUKI2_4
GCA_001670055.1	1627	1545	82	4	75	Saccharomyces cerevisiae NSERVsf_F8
GCA_001670085.1	1629	1547	82	5	72	Saccharomyces cerevisiae HCNTHsf_F8
GCA_001670115.1	1629	1547	82	5	72	Saccharomyces cerevisiae T78
GCA_001670145.1	1625	1544	81	5	76	Saccharomyces cerevisiae HCNTHsf_C5
GCA_001670175.1	1629	1547	82	5	72	Saccharomyces cerevisiae TNPLST-4-S-2
GCA_001670205.1	1627	1545	82	6	73	Saccharomyces cerevisiae HB_S_GIMBLETTROAD_9
GCA_001670235.1	1626	1546	80	4	76	Saccharomyces cerevisiae T8
GCA_001670265.1	1629	1546	83	5	72	Saccharomyces cerevisiae MTKSKsf_E2
GCA_001670295.1	1627	1545	82	5	74	Saccharomyces cerevisiae CRIRIwf_A11
GCA_001670325.1	1627	1546	81	4	75	Saccharomyces cerevisiae CDRDR_sf_H
GCA_001670355.1	1631	1549	82	3	72	Saccharomyces cerevisiae Soil7-1
GCA_001670385.1	1629	1547	82	5	72	Saccharomyces cerevisiae HPRMTsf_H7
GCA_001670415.1	1630	1548	82	5	71	Saccharomyces cerevisiae WI_S_OAKURA_4
GCA_001670845.1	1626	1545	81	4	76	Saccharomyces cerevisiae HB_S_BILANCHER_12
GCA_001670935.1	1628	1547	81	6	72	Saccharomyces cerevisiae HB_S_GIMBLETTROAD_22
GCA_001670965.1	1628	1545	83	5	73	Saccharomyces cerevisiae HB_C_OMARUNUI_7
GCA_001670995.1	1625	1544	81	7	74	Saccharomyces cerevisiae HB_C_TUKITUKI1_16
GCA_001671025.1	1629	1548	81	4	73	Saccharomyces cerevisiae WI_S_JASA_5
GCA_001671055.1	1626	1546	80	5	75	Saccharomyces cerevisiae T52
GCA_001671085.1	1628	1546	82	4	74	Saccharomyces cerevisiae HB_C_KOROKIPO_3
GCA_001671115.1	1625	1544	81	5	76	Saccharomyces cerevisiae HB_C_OMARUNUI_14
GCA_001671165.1	1629	1547	82	5	72	Saccharomyces cerevisiae HB_C_OMARUNUI_6
GCA_001671195.1	1628	1546	82	4	74	Saccharomyces cerevisiae WA_C_WAITAKEREROAD_7
GCA_001671225.1	1630	1548	82	4	72	Saccharomyces cerevisiae WI_C_MB95MBMZ_4
GCA_001671255.1	1629	1548	81	4	73	Saccharomyces cerevisiae WI_C_MBSP_15
GCA_001671285.1	1629	1548	81	5	72	Saccharomyces cerevisiae WI_C_MBSP_4
GCA_001671315.1	1626	1544	82	5	75	Saccharomyces cerevisiae T.52_5E
GCA_001671345.1	1627	1545	82	5	74	Saccharomyces cerevisiae WA_C_KINGSMILL_10
GCA_001671375.1	1628	1547	81	5	73	Saccharomyces cerevisiae WA_C_MATES_10
GCA_001671405.1	1627	1545	82	5	74	Saccharomyces cerevisiae WSERCsf_G4
GCA_001671435.1	1627	1546	81	6	73	Saccharomyces cerevisiae HB_S_GIMBLETTROAD_5
GCA_001671565.1	1627	1545	82	5	74	Saccharomyces cerevisiae HCNKIsf_G7
GCA_001671595.1	1628	1546	82	3	75	Saccharomyces cerevisiae WSETAwf_B1
GCA_001671625.1	1627	1546	81	4	75	Saccharomyces cerevisiae NSEBRsf_A9
GCA_001671655.1	1625	1545	80	6	75	Saccharomyces cerevisiae MARARsf_A10
GCA_001671685.1	1627	1546	81	5	74	Saccharomyces cerevisiae T16
GCA_001671715.1	1625	1546	79	5	76	Saccharomyces cerevisiae WA_C_CODDINGTON_2
GCA_001671745.1	1628	1546	82	4	74	Saccharomyces cerevisiae T.52_5A
GCA_001671775.1	1628	1547	81	5	73	Saccharomyces cerevisiae WA_C_MATES_13
GCA_001671805.1	1629	1548	81	5	72	Saccharomyces cerevisiae HB_C_KOROKIPO_12
GCA_001671835.1	1626	1544	82	6	74	Saccharomyces cerevisiae WI_S_JASA_13
GCA_001671865.1	1626	1544	82	5	75	Saccharomyces cerevisiae HB_C_TUKITUKI2_10
GCA_001671895.1	1629	1547	82	5	72	Saccharomyces cerevisiae HB_S_GIMBLETTROAD_14
GCA_001671925.1	1628	1546	82	4	74	Saccharomyces cerevisiae T63
GCA_001671955.1	1626	1544	82	5	75	Saccharomyces cerevisiae HB_S_BILANCHER_6
GCA_001671985.1	1626	1545	81	6	74	Saccharomyces cerevisiae HB_S_GIMBLETTROAD_16
GCA_001673695.2	1598	1596	2	9	99	Clavispora lusitaniae CBS 6936
GCA_001682995.1	1661	1656	5	3	42	Debaryomyces hansenii J6
GCA_001692465.1	1608	1607	1	10	88	Kluyveromyces marxianus UFS-Y2791
GCA_001708085.1	1610	1604	6	7	89	Komagataella phaffii
GCA_001708105.1	1606	1599	7	6	94	Komagataella pastoris ATCC 28485
GCA_001719535.1	1327	1325	2	52	327	Brettanomyces bruxellensis CBS 2796
GCA_001735825.1	1627	1547	80	7	72	Saccharomyces cerevisiae wild007
GCA_001737145.2	1625	1545	80	6	75	Saccharomyces cerevisiae wild003
GCA_001737155.1	1627	1545	82	6	73	Saccharomyces cerevisiae wild005
GCA_001737165.1	1629	1550	79	4	73	Saccharomyces cerevisiae wild004
GCA_001737175.1	1627	1545	82	5	74	Saccharomyces cerevisiae wild006
GCA_001737265.1	1628	1547	81	4	74	Saccharomyces cerevisiae wild002
GCA_001737275.1	1632	1550	82	3	71	Saccharomyces cerevisiae wild001
GCA_001737285.1	1629	1547	82	4	73	Saccharomyces cerevisiae wine019
GCA_001737295.2	1630	1549	81	5	71	Saccharomyces cerevisiae wine018
GCA_001737385.2	1627	1548	79	4	75	Saccharomyces cerevisiae wine017
GCA_001737395.2	1628	1548	80	4	74	Saccharomyces cerevisiae wine016
GCA_001737415.2	1629	1548	81	5	72	Saccharomyces cerevisiae wine015
GCA_001737445.2	1627	1548	79	6	73	Saccharomyces cerevisiae wine014
GCA_001737505.2	1626	1545	81	6	74	Saccharomyces cerevisiae wine013
GCA_001737515.2	1624	1543	81	5	77	Saccharomyces cerevisiae wine012
GCA_001737535.2	1628	1548	80	6	72	Saccharomyces cerevisiae wine011
GCA_001737545.2	1627	1546	81	7	72	Saccharomyces cerevisiae wine010
GCA_001737625.2	1627	1547	80	5	74	Saccharomyces cerevisiae wine009
GCA_001737635.2	1614	1537	77	9	83	Saccharomyces cerevisiae wine008
GCA_001737645.2	1628	1546	82	6	72	Saccharomyces cerevisiae wine007
GCA_001737655.2	1627	1546	81	5	74	Saccharomyces cerevisiae wine006
GCA_001737745.2	1627	1547	80	4	75	Saccharomyces cerevisiae wine005
GCA_001737755.2	1627	1546	81	6	73	Saccharomyces cerevisiae wine004
GCA_001737765.2	1632	1552	80	3	71	Saccharomyces cerevisiae wine003
GCA_001737785.2	1631	1549	82	3	72	Saccharomyces cerevisiae wine002
GCA_001737865.2	1626	1544	82	6	74	Saccharomyces cerevisiae wine001
GCA_001737875.1	1628	1547	81	4	74	Saccharomyces cerevisiae spirits011
GCA_001737885.1	1629	1548	81	3	74	Saccharomyces cerevisiae spirits010
GCA_001737895.1	1626	1546	80	5	75	Saccharomyces cerevisiae spirits009
GCA_001737985.1	1629	1546	83	4	73	Saccharomyces cerevisiae spirits008
GCA_001737995.1	1628	1545	83	6	72	Saccharomyces cerevisiae spirits007
GCA_001738005.1	1629	1548	81	5	72	Saccharomyces cerevisiae spirits006
GCA_001738015.1	1622	1543	79	7	77	Saccharomyces cerevisiae spirits005
GCA_001738105.1	1629	1550	79	6	71	Saccharomyces cerevisiae spirits004
GCA_001738115.1	1625	1544	81	7	74	Saccharomyces cerevisiae spirits003
GCA_001738125.1	1627	1545	82	6	73	Saccharomyces cerevisiae spirits002
GCA_001738135.2	1627	1546	81	5	74	Saccharomyces cerevisiae spirits001
GCA_001738225.1	1630	1551	79	3	73	Saccharomyces cerevisiae sake007
GCA_001738235.1	1627	1547	80	2	77	Saccharomyces cerevisiae sake006
GCA_001738255.1	1630	1552	78	2	74	Saccharomyces cerevisiae sake005
GCA_001738265.1	1629	1551	78	3	74	Saccharomyces cerevisiae sake004
GCA_001738345.1	1622	1546	76	3	81	Saccharomyces cerevisiae sake003
GCA_001738355.1	1628	1546	82	5	73	Saccharomyces cerevisiae sake002
GCA_001738375.1	1627	1546	81	3	76	Saccharomyces cerevisiae sake001
GCA_001738395.1	1627	1545	82	5	74	Saccharomyces cerevisiae laboratory002
GCA_001738465.1	1627	1548	79	5	74	Saccharomyces cerevisiae laboratory001
GCA_001738485.1	1622	1540	82	7	77	Saccharomyces cerevisiae bread004
GCA_001738495.1	1624	1542	82	8	74	Saccharomyces cerevisiae bread003
GCA_001738515.1	1627	1546	81	4	75	Saccharomyces cerevisiae bread002
GCA_001738585.1	1626	1545	81	5	75	Saccharomyces cerevisiae bread001
GCA_001738595.1	1627	1547	80	4	75	Saccharomyces cerevisiae bioethanol005
GCA_001738605.1	1630	1549	81	2	74	Saccharomyces cerevisiae bioethanol004
GCA_001738615.1	1628	1548	80	2	76	Saccharomyces cerevisiae bioethanol003
GCA_001738705.1	1630	1552	78	4	72	Saccharomyces cerevisiae bioethanol002
GCA_001738715.1	1630	1549	81	3	73	Saccharomyces cerevisiae bioethanol001
GCA_001738725.1	1626	1546	80	5	75	Saccharomyces cerevisiae beer102
GCA_001738755.1	1631	1550	81	4	71	Saccharomyces cerevisiae beer101
GCA_001738825.1	1628	1546	82	4	74	Saccharomyces cerevisiae beer100
GCA_001738835.1	1622	1539	83	8	76	Saccharomyces cerevisiae beer099
GCA_001738845.1	1628	1546	82	5	73	Saccharomyces cerevisiae beer098
GCA_001738855.1	1627	1534	93	4	75	Saccharomyces cerevisiae beer097
GCA_001738945.1	1627	1532	95	4	75	Saccharomyces cerevisiae beer096
GCA_001738955.1	1627	1534	93	3	76	Saccharomyces cerevisiae beer095
GCA_001738965.1	1627	1544	83	6	73	Saccharomyces cerevisiae beer094
GCA_001738985.1	1628	1547	81	3	75	Saccharomyces cerevisiae beer093
GCA_001739065.1	1629	1550	79	3	74	Saccharomyces cerevisiae beer092
GCA_001739075.1	1631	1550	81	3	72	Saccharomyces cerevisiae beer091
GCA_001739095.1	1626	1542	84	5	75	Saccharomyces cerevisiae beer090
GCA_001739105.1	1627	1546	81	4	75	Saccharomyces cerevisiae beer089
GCA_001739185.1	1628	1545	83	6	72	Saccharomyces cerevisiae beer088
GCA_001739215.1	1630	1549	81	4	72	Saccharomyces cerevisiae beer087
GCA_001739225.1	1629	1545	84	4	73	Saccharomyces cerevisiae beer086
GCA_001739235.1	1625	1542	83	4	77	Saccharomyces cerevisiae beer085
GCA_001739305.1	1629	1551	78	5	72	Saccharomyces cerevisiae beer084
GCA_001739335.1	1630	1551	79	4	72	Saccharomyces cerevisiae beer083
GCA_001739345.1	1626	1545	81	4	76	Saccharomyces cerevisiae beer082
GCA_001739355.1	1628	1546	82	5	73	Saccharomyces cerevisiae beer081
GCA_001739425.1	1629	1548	81	4	73	Saccharomyces cerevisiae beer080
GCA_001739455.1	1628	1545	83	4	74	Saccharomyces cerevisiae beer079
GCA_001739475.1	1625	1544	81	4	77	Saccharomyces cerevisiae beer078
GCA_001739495.1	1624	1543	81	5	77	Saccharomyces cerevisiae beer077
GCA_001739545.1	1627	1546	81	3	76	Saccharomyces cerevisiae beer076
GCA_001739575.1	1623	1542	81	4	79	Saccharomyces cerevisiae beer075
GCA_001739595.1	1625	1546	79	5	76	Saccharomyces cerevisiae beer074
GCA_001739625.1	1629	1549	80	6	71	Saccharomyces cerevisiae beer073
GCA_001739665.1	1626	1547	79	5	75	Saccharomyces cerevisiae beer072
GCA_001739695.1	1625	1546	79	6	75	Saccharomyces cerevisiae beer071
GCA_001739705.1	1628	1547	81	5	73	Saccharomyces cerevisiae beer070
GCA_001739735.1	1624	1543	81	5	77	Saccharomyces cerevisiae beer069
GCA_001739775.1	1622	1540	82	7	77	Saccharomyces cerevisiae beer068
GCA_001739815.1	1623	1545	78	7	76	Saccharomyces cerevisiae beer067
GCA_001739825.1	1625	1543	82	6	75	Saccharomyces cerevisiae beer066
GCA_001739845.1	1621	1541	80	9	76	Saccharomyces cerevisiae beer065
GCA_001739865.1	1625	1545	80	4	77	Saccharomyces cerevisiae beer064
GCA_001739935.1	1629	1550	79	4	73	Saccharomyces cerevisiae beer063
GCA_001739945.1	1631	1551	80	2	73	Saccharomyces cerevisiae beer062
GCA_001739965.1	1625	1547	78	5	76	Saccharomyces cerevisiae beer061
GCA_001739995.1	1625	1543	82	4	77	Saccharomyces cerevisiae beer060
GCA_001740055.1	1628	1545	83	5	73	Saccharomyces cerevisiae beer059
GCA_001740075.1	1623	1543	80	6	77	Saccharomyces cerevisiae beer058
GCA_001740095.1	1626	1545	81	6	74	Saccharomyces cerevisiae beer057
GCA_001740115.1	1626	1545	81	4	76	Saccharomyces cerevisiae beer056
GCA_001740175.1	1624	1542	82	6	76	Saccharomyces cerevisiae beer055
GCA_001740185.1	1629	1548	81	4	73	Saccharomyces cerevisiae beer054
GCA_001740205.1	1626	1546	80	4	76	Saccharomyces cerevisiae beer053
GCA_001740225.1	1628	1534	94	4	74	Saccharomyces cerevisiae beer052
GCA_001740295.1	1623	1544	79	7	76	Saccharomyces cerevisiae beer051
GCA_001740305.1	1626	1545	81	6	74	Saccharomyces cerevisiae beer050
GCA_001740325.1	1627	1545	82	3	76	Saccharomyces cerevisiae beer049
GCA_001740345.1	1631	1549	82	3	72	Saccharomyces cerevisiae beer048
GCA_001740415.1	1629	1549	80	4	73	Saccharomyces cerevisiae beer047
GCA_001740425.1	1633	1553	80	5	68	Saccharomyces cerevisiae beer046
GCA_001740445.1	1628	1546	82	5	73	Saccharomyces cerevisiae beer045
GCA_001740455.1	1621	1542	79	6	79	Saccharomyces cerevisiae beer044
GCA_001740535.1	1625	1544	81	5	76	Saccharomyces cerevisiae beer043
GCA_001740545.1	1624	1544	80	5	77	Saccharomyces cerevisiae beer042
GCA_001740565.1	1626	1547	79	5	75	Saccharomyces cerevisiae beer041
GCA_001740575.1	1626	1544	82	5	75	Saccharomyces cerevisiae beer040
GCA_001740655.1	1628	1547	81	4	74	Saccharomyces cerevisiae beer039
GCA_001740665.1	1627	1546	81	7	72	Saccharomyces cerevisiae beer038
GCA_001740675.1	1627	1546	81	4	75	Saccharomyces cerevisiae beer037
GCA_001740705.1	1627	1547	80	5	74	Saccharomyces cerevisiae beer036
GCA_001740775.1	1622	1542	80	7	77	Saccharomyces cerevisiae beer035
GCA_001740785.1	1629	1549	80	5	72	Saccharomyces cerevisiae beer034
GCA_001740795.1	1627	1545	82	5	74	Saccharomyces cerevisiae beer033
GCA_001740805.1	1632	1549	83	3	71	Saccharomyces cerevisiae beer032
GCA_001740895.1	1626	1547	79	4	76	Saccharomyces cerevisiae beer031
GCA_001740905.1	1627	1545	82	6	73	Saccharomyces cerevisiae beer030
GCA_001740915.1	1625	1545	80	7	74	Saccharomyces cerevisiae beer029
GCA_001740925.1	1621	1539	82	8	77	Saccharomyces cerevisiae beer028
GCA_001741015.1	1628	1545	83	5	73	Saccharomyces cerevisiae beer027
GCA_001741025.1	1624	1547	77	6	76	Saccharomyces cerevisiae beer026
GCA_001741035.1	1627	1546	81	5	74	Saccharomyces cerevisiae beer025
GCA_001741045.1	1624	1542	82	6	76	Saccharomyces cerevisiae beer024
GCA_001741135.1	1626	1545	81	4	76	Saccharomyces cerevisiae beer023
GCA_001741145.1	1628	1548	80	3	75	Saccharomyces cerevisiae beer022
GCA_001741165.1	1630	1546	84	5	71	Saccharomyces cerevisiae beer021
GCA_001741195.1	1627	1546	81	5	74	Saccharomyces cerevisiae beer020
GCA_001741255.1	1625	1545	80	6	75	Saccharomyces cerevisiae beer019
GCA_001741285.1	1627	1547	80	4	75	Saccharomyces cerevisiae beer018
GCA_001741295.1	1627	1546	81	4	75	Saccharomyces cerevisiae beer017
GCA_001741305.1	1623	1543	80	7	76	Saccharomyces cerevisiae beer016
GCA_001741375.1	1625	1544	81	5	76	Saccharomyces cerevisiae beer015
GCA_001741405.1	1629	1548	81	5	72	Saccharomyces cerevisiae beer014
GCA_001741415.1	1631	1551	80	5	70	Saccharomyces cerevisiae beer013
GCA_001741425.1	1630	1550	80	5	71	Saccharomyces cerevisiae beer012
GCA_001741495.1	1629	1548	81	4	73	Saccharomyces cerevisiae beer011
GCA_001741525.1	1627	1546	81	4	75	Saccharomyces cerevisiae beer010
GCA_001741535.1	1625	1544	81	4	77	Saccharomyces cerevisiae beer009
GCA_001741555.1	1625	1546	79	5	76	Saccharomyces cerevisiae beer008
GCA_001741605.1	1624	1543	81	6	76	Saccharomyces cerevisiae beer007
GCA_001741685.1	1622	1541	81	7	77	Saccharomyces cerevisiae beer006
GCA_001741695.1	1622	1541	81	7	77	Saccharomyces cerevisiae beer005
GCA_001741705.1	1627	1545	82	4	75	Saccharomyces cerevisiae beer004
GCA_001741725.1	1629	1549	80	5	72	Saccharomyces cerevisiae beer003
GCA_001741805.1	1628	1548	80	4	74	Saccharomyces cerevisiae beer001
GCA_001741815.1	1632	1553	79	2	72	Saccharomyces cerevisiae beer002
GCA_001746385.1	1453	1448	5	20	233	Brettanomyces custersianus CBS 4805
GCA_001746955.1	1608	1602	6	8	90	Komagataella phaffii GS115 GS115
GCA_001747045.1	1414	1411	3	11	281	Hanseniaspora osmophila AWRI3579
GCA_001747055.1	973	972	1	20	713	Hanseniaspora uvarum AWRI3580
GCA_001749795.1	948	946	2	23	735	Hanseniaspora opuntiae AWRI3578
GCA_001750485.1	1624	1544	80	4	78	Saccharomyces cerevisiae GUJ105
GCA_001754015.1	1467	1463	4	16	223	Brettanomyces anomalus CBS 7654
GCA_001761485.1	1584	1577	7	5	117	Yarrowia lipolytica CLIB89(W29)
GCA_001854445.2	1612	1610	2	10	84	Kluyveromyces marxianus FIM1
GCA_001879685.1	1140	1131	9	141	425	Pichia kudriavzevii KMBL5774
GCA_001932575.1	1634	1541	93	4	68	Saccharomyces cerevisiae BG1
GCA_001936135.1	1547	139	1408	3	156	Saccharomycopsis fibuligera x Saccharomycopsis cf. fibuligera KJJ81
GCA_001936155.1	1525	1503	22	10	171	Saccharomycopsis fibuligera KPH12
GCA_001936275.1	1478	1457	21	9	219	Saccharomycopsis fibuligera ATCC 36309
GCA_001937245.1	1629	1533	96	4	73	Saccharomyces cerevisiae VTT A-81062
GCA_001939105.2	1601	1593	8	11	94	Sugiyamaella xylanicola UFMG-CM-Y1884
